CHROM	BIN_START	N_SNPS	TajimaD
chr6	5250000	147	-1.41767
chr6	5300000	142	-1.58379
chr6	5350000	179	-1.64665
chr6	5400000	280	-1.81791
chr6	5450000	233	-1.62702
chr6	5500000	114	-1.83552
chr6	5550000	134	-0.917571
chr6	5600000	111	-1.44085
chr6	5650000	163	-1.55398
chr6	5700000	95	-0.293789
chr6	5750000	135	-0.606049
chr6	5800000	102	-1.16798
chr6	5850000	121	-0.788421
chr6	5900000	95	-1.63375
chr6	5950000	186	-1.639
chr6	6000000	181	-1.74642
chr6	6050000	87	-1.82474
chr6	6100000	91	-1.07986
chr6	6150000	156	-1.43771
chr6	6200000	53	0.442656
chr6	6250000	130	-0.529784
chr6	6300000	194	0.591425
chr6	6350000	367	1.45378
chr6	6400000	83	-1.52501
chr6	6450000	160	-1.45963
chr6	6500000	213	-1.25675
chr6	6550000	96	-1.06258
chr6	6600000	92	-0.551822
chr6	6650000	186	-1.2729
chr6	6700000	86	-1.53125
chr6	6750000	83	-0.974236
chr6	6800000	194	-1.18895
chr6	6850000	163	-1.49353
chr6	6900000	151	-1.59748
chr6	6950000	110	-1.57033
chr6	7000000	83	-1.63657
chr6	7050000	35	-1.44479
chr6	7100000	19	-1.39118
chr6	7150000	176	-1.35736
chr6	7200000	127	-1.26147
chr6	7250000	146	-1.61578
chr6	7300000	108	-1.68032
chr6	7350000	93	-1.28069
chr6	7400000	190	1.61557
chr6	7450000	313	0.871981
chr6	7500000	136	-0.547022
chr6	7550000	208	-1.36621
chr6	7600000	76	-1.17065
chr6	7650000	181	-1.67319
chr6	7700000	83	-1.10219
chr6	7750000	118	-1.40451
chr6	7800000	395	-1.51088
chr6	7850000	229	-1.71795
chr6	7900000	310	-1.69484
chr6	7950000	142	-1.69162
chr6	8000000	134	-1.22391
chr6	8050000	190	-1.74567
chr6	8100000	144	-1.87136
chr6	8150000	162	-1.31124
chr6	8200000	229	-1.26644
chr6	8250000	282	-1.71354
chr6	8300000	245	-1.6881
chr6	8350000	208	-1.36658
chr6	8400000	315	-1.61499
chr6	8450000	188	-1.52594
chr6	8500000	159	-1.34873
chr6	8550000	127	-1.3911
chr6	8600000	144	-0.625221
chr6	8650000	239	-1.12729
chr6	8700000	197	-1.64769
chr6	8750000	175	-1.01212
chr6	8800000	170	-1.22645
chr6	8850000	151	-1.59482
chr6	8900000	131	-1.40964
chr6	8950000	236	-1.37866
chr6	9000000	156	-1.33517
chr6	9050000	106	-1.27803
chr6	9100000	98	-1.4484
chr6	9150000	111	-1.60314
chr6	9200000	282	-1.5475
chr6	9250000	188	-1.54431
chr6	9300000	69	-1.48238
chr6	9350000	97	-1.56461
chr6	9400000	73	-1.5936
chr6	9450000	75	-1.25905
chr6	9500000	124	-0.979531
chr6	9550000	147	-1.08938
chr6	9600000	230	-1.50755
chr6	9650000	195	-1.18878
chr6	9700000	99	-1.38108
chr6	9750000	135	-0.962762
chr6	9800000	91	-1.23744
chr6	9850000	179	-1.45772
chr6	9900000	180	-0.666202
chr6	9950000	414	-1.60492
chr6	10000000	332	-1.70508
chr6	10050000	155	-1.39368
chr6	10100000	89	-0.94831
chr6	10150000	156	-1.30159
chr6	10200000	64	-1.56078
chr6	10250000	134	-1.7906
chr6	10300000	98	-1.69927
chr6	10350000	88	-1.27637
chr6	10400000	93	-1.40489
chr6	10450000	130	-1.60604
chr6	10500000	153	-1.26083
chr6	10550000	151	-1.60895
chr6	10600000	137	-1.57101
chr6	10650000	155	-1.62085
chr6	10700000	151	-1.47296
chr6	10750000	157	-1.80217
chr6	10800000	241	-1.67319
chr6	10850000	101	-1.4153
chr6	10900000	200	-1.56309
chr6	10950000	89	-1.31742
chr6	11000000	206	-1.62287
chr6	11050000	120	-1.49478
chr6	11100000	128	-1.18471
chr6	11150000	81	-1.35921
chr6	11200000	71	-1.48249
chr6	11250000	168	-1.5218
chr6	11300000	137	-1.5694
chr6	11350000	137	-1.41185
chr6	11400000	142	-0.993616
chr6	11450000	132	-1.31082
chr6	11500000	156	-1.52119
chr6	11550000	144	-1.39562
chr6	11600000	218	-1.38305
chr6	11650000	161	-1.60126
chr6	11700000	113	-1.02662
chr6	11750000	190	-1.636
chr6	11800000	329	-1.49997
chr6	11850000	100	-1.45663
chr6	11900000	298	-1.65594
chr6	11950000	450	-1.61031
chr6	12000000	287	-1.74045
chr6	12050000	188	-1.68012
chr6	12100000	150	-1.3613
chr6	12150000	124	-1.3883
chr6	12200000	158	-1.67869
chr6	12250000	146	-1.49493
chr6	12300000	244	-1.40622
chr6	12350000	143	-1.7084
chr6	12400000	456	-1.61553
chr6	12450000	178	-1.70691
chr6	12500000	203	-1.68414
chr6	12550000	80	-1.80861
chr6	12600000	118	-1.5387
chr6	12650000	238	-1.36076
chr6	12700000	115	-1.0963
chr6	12750000	161	-1.1836
chr6	12800000	120	-1.13938
chr6	12850000	246	-1.45737
chr6	12900000	240	-1.64929
chr6	12950000	113	-1.5886
chr6	13000000	203	-1.66752
chr6	13050000	196	-1.48139
chr6	13100000	180	-1.8248
chr6	13150000	113	-1.60812
chr6	13200000	270	-1.36217
chr6	13250000	403	-1.79229
chr6	13300000	162	-1.49626
chr6	13350000	325	-1.57169
chr6	13400000	193	-1.39753
chr6	13450000	396	-1.48971
chr6	13500000	265	-1.72287
chr6	13550000	245	-1.44109
chr6	13600000	266	-1.47073
chr6	13650000	188	-1.47763
chr6	13700000	287	-1.20955
chr6	13750000	152	-1.71472
chr6	13800000	343	-1.29259
chr6	13850000	325	-1.4841
chr6	13900000	438	-1.5971
chr6	13950000	188	-1.72219
chr6	14000000	217	-1.46488
chr6	14050000	238	-1.5513
chr6	14100000	141	-1.39917
chr6	14150000	264	-1.5297
chr6	14200000	233	-1.71956
chr6	14250000	352	-1.62519
chr6	14300000	253	-1.41093
chr6	14350000	198	-1.68878
chr6	14400000	127	-1.5336
chr6	14450000	305	-1.6903
chr6	14500000	172	-1.66277
chr6	14550000	523	-1.81031
chr6	14600000	168	-1.52462
chr6	14650000	379	-1.71115
chr6	14700000	195	-1.64267
chr6	14750000	223	-1.40598
chr6	14800000	150	-1.65285
chr6	14850000	279	-1.74163
chr6	14900000	137	-1.15011
chr6	14950000	215	-1.66605
chr6	15000000	141	-1.50976
chr6	15050000	138	-1.13108
chr6	15100000	279	-1.57425
chr6	15150000	270	-1.20887
chr6	15200000	292	-1.48157
chr6	15250000	380	-1.65492
chr6	15300000	82	-0.85031
chr6	15350000	108	-1.37198
chr6	15400000	275	-1.54218
chr6	15450000	210	-1.39332
chr6	15500000	120	-1.56777
chr6	15550000	107	-1.0718
chr6	15600000	167	-1.44765
chr6	15650000	149	-1.79738
chr6	15700000	223	-1.38748
chr6	15750000	116	-1.70916
chr6	15800000	260	-1.37489
chr6	15850000	155	-1.53018
chr6	15900000	126	-1.21955
chr6	15950000	281	-1.46646
chr6	16000000	197	-1.40452
chr6	16050000	219	-1.72713
chr6	16100000	385	-1.55735
chr6	16150000	146	-1.06024
chr6	16200000	121	0.127892
chr6	16250000	385	-1.27249
chr6	16300000	110	-1.15403
chr6	16350000	198	-1.24059
chr6	16400000	376	-1.60497
chr6	16450000	368	-1.45842
chr6	16500000	196	-1.40451
chr6	16550000	163	-1.43902
chr6	16600000	192	-1.01343
chr6	16650000	376	-1.72783
chr6	16700000	208	-1.49551
chr6	16750000	151	-1.08296
chr6	16800000	122	-1.17783
chr6	16850000	212	-1.26804
chr6	16900000	322	-1.61647
chr6	16950000	200	-1.55457
chr6	17000000	199	-1.2975
chr6	17050000	274	-1.19984
chr6	17100000	184	-0.821995
chr6	17150000	126	-0.78211
chr6	17200000	269	-1.25084
chr6	17250000	214	-1.29141
chr6	17300000	384	-1.54458
chr6	17350000	356	-1.4016
chr6	17400000	165	-1.46364
chr6	17450000	245	-1.27939
chr6	17500000	193	-1.5145
chr6	17550000	267	-1.53268
chr6	17600000	183	-1.38506
chr6	17650000	342	-1.47367
chr6	17700000	168	-1.51184
chr6	17750000	209	-1.53347
chr6	17800000	81	-1.52006
chr6	17850000	168	-1.58992
chr6	17900000	659	-1.67334
chr6	17950000	386	-1.73735
chr6	18000000	156	-1.85194
chr6	18050000	164	-1.44869
chr6	18100000	265	-1.35512
chr6	18150000	362	-1.63956
chr6	18200000	497	-1.90752
chr6	18250000	408	-1.69644
chr6	18300000	211	-1.61792
chr6	18350000	359	-1.55753
chr6	18400000	243	-1.58205
chr6	18450000	381	-1.5365
chr6	18500000	130	-1.85038
chr6	18550000	214	-1.47775
chr6	18600000	108	-1.37772
chr6	18650000	136	-1.55818
chr6	18700000	503	-1.7765
chr6	18750000	300	-1.42039
chr6	18800000	101	-1.33795
chr6	18850000	203	-1.27621
chr6	18900000	264	-1.65403
chr6	18950000	164	-1.67647
chr6	19000000	218	-1.18912
chr6	19050000	121	-1.68234
chr6	19100000	333	-1.47317
chr6	19150000	296	-1.5836
chr6	19200000	343	-1.40301
chr6	19250000	168	-1.76058
chr6	19300000	231	-1.46124
chr6	19350000	291	-1.50693
chr6	19400000	325	-1.4287
chr6	19450000	224	-1.38025
chr6	19500000	165	-1.59499
chr6	19550000	411	-1.3145
chr6	19600000	195	-1.44732
chr6	19650000	88	-1.65468
chr6	19700000	258	-1.43533
chr6	19750000	266	-1.577
chr6	19800000	301	-1.65376
chr6	19850000	372	-1.86021
chr6	19900000	261	-1.71899
chr6	19950000	121	-1.62226
chr6	20000000	173	-1.62024
chr6	20050000	304	-1.48527
chr6	20100000	101	-1.79171
chr6	20150000	198	-1.34897
chr6	20200000	194	-1.54539
chr6	20250000	131	-1.57795
chr6	20300000	281	-1.46023
chr6	20350000	242	-1.45686
chr6	20400000	209	-1.62171
chr6	20450000	238	-1.43542
chr6	20500000	271	-1.60675
chr6	20550000	110	-1.66684
chr6	20600000	199	-1.55923
chr6	20650000	281	-0.00881051
chr6	20700000	91	-1.15277
chr6	20750000	139	-1.28248
chr6	20800000	175	-1.4822
chr6	20850000	316	-1.58562
chr6	20900000	157	-1.57087
chr6	20950000	69	-0.83495
chr6	21000000	219	-1.99628
chr6	21050000	180	-1.64904
chr6	21100000	176	-1.79282
chr6	21150000	306	-1.92852
chr6	21200000	95	-1.4199
chr6	21250000	259	-1.53942
chr6	21300000	240	-1.57373
chr6	21350000	266	-1.70221
chr6	21400000	160	-1.74978
chr6	21450000	234	-1.83327
chr6	21500000	180	-1.6621
chr6	21550000	303	-1.81284
chr6	21600000	136	-1.46245
chr6	21650000	181	-1.44426
chr6	21700000	189	-1.66457
chr6	21750000	185	-1.19202
chr6	21800000	284	-1.59745
chr6	21850000	82	-1.47591
chr6	21900000	354	-1.35789
chr6	21950000	204	-1.46478
chr6	22000000	247	-1.57156
chr6	22050000	193	-1.72808
chr6	22100000	470	-1.58447
chr6	22150000	225	-1.57919
chr6	22200000	124	-0.985871
chr6	22250000	54	-1.16506
chr6	22300000	38	-0.734089
chr6	22350000	318	-1.42164
chr6	22400000	287	-1.36488
chr6	22450000	111	-1.34121
chr6	22500000	299	-1.45742
chr6	22550000	361	-1.54403
chr6	22600000	397	-1.529
chr6	22650000	212	-1.57827
chr6	22700000	358	-1.50691
chr6	22750000	214	-1.39428
chr6	22800000	249	-1.37891
chr6	22850000	360	-1.74178
chr6	22900000	478	-1.35402
chr6	22950000	153	-1.22985
chr6	23000000	175	-1.13569
chr6	23050000	206	-1.70097
chr6	23100000	94	-1.35522
chr6	23150000	158	-1.17666
chr6	23200000	290	-1.24315
chr6	23250000	200	-0.579099
chr6	23300000	355	-1.12242
chr6	23350000	480	-1.20274
chr6	23400000	268	-1.283
chr6	23450000	167	-1.1866
chr6	23500000	194	-1.64154
chr6	23550000	177	-1.54968
chr6	23600000	262	-1.37723
chr6	23650000	317	-1.49982
chr6	23700000	324	-1.34791
chr6	23750000	256	-1.50802
chr6	23800000	53	-0.852331
chr6	23850000	61	-1.55624
chr6	23900000	229	-1.2422
chr6	23950000	172	-1.61841
chr6	24000000	397	-2.18155
chr6	24050000	563	-2.28237
chr6	24100000	554	-2.10976
chr6	24150000	190	-1.68415
chr6	24200000	195	-1.59907
chr6	24250000	126	-1.86967
chr6	24300000	146	-1.843
chr6	24350000	191	-1.65378
chr6	24400000	447	-1.6987
chr6	24450000	131	-1.5848
chr6	24500000	144	-1.41231
chr6	24550000	29	-1.15857
chr6	24600000	205	-1.86336
chr6	24650000	360	-1.89915
chr6	24700000	529	-2.17852
chr6	24750000	620	-2.17941
chr6	24800000	442	-2.3416
chr6	24850000	422	-1.84542
chr6	24900000	450	-0.916601
chr6	24950000	383	-0.959427
chr6	25000000	561	0.661158
chr6	25050000	291	3.03477
chr6	25100000	194	0.577959
chr6	25150000	209	1.70799
chr6	25200000	259	1.15962
chr6	25250000	132	-1.94115
chr6	25300000	116	-1.92098
chr6	25350000	257	-1.93247
chr6	25400000	228	-1.88612
chr6	25450000	78	-1.63882
chr6	25500000	202	-1.93724
chr6	25550000	166	-1.98859
chr6	25600000	97	-1.71066
chr6	25650000	220	-1.7873
chr6	25700000	113	-1.22632
chr6	25750000	231	-1.45398
chr6	25800000	401	-1.64223
chr6	25850000	484	-1.47508
chr6	25900000	330	-1.60909
chr6	25950000	307	-1.61268
chr6	26000000	203	-1.1054
chr6	26050000	468	-1.72744
chr6	26100000	231	-1.08772
chr6	26150000	89	-1.50457
chr6	26200000	256	-1.58077
chr6	26250000	191	-1.33382
chr6	26300000	315	-1.49271
chr6	26350000	184	-1.21572
chr6	26400000	183	-1.68316
chr6	26450000	291	-1.72139
chr6	26500000	243	-1.63564
chr6	26550000	293	-1.50479
chr6	26600000	365	-1.67495
chr6	26650000	106	-1.22487
chr6	26700000	307	-1.42953
chr6	26750000	160	-1.08434
chr6	26800000	144	-1.49151
chr6	26850000	234	-1.45041
chr6	26900000	110	-0.963117
chr6	26950000	118	-1.6699
chr6	27000000	134	-1.55246
chr6	27050000	246	-1.38721
chr6	27100000	360	-1.39454
chr6	27150000	225	-1.61291
chr6	27200000	305	-1.02503
chr6	27250000	206	-1.0795
chr6	27300000	152	-1.16091
chr6	27350000	211	-1.16803
chr6	27400000	140	-0.548448
chr6	27450000	426	-1.4089
chr6	27500000	26	-0.917017
chr6	27550000	147	0.652237
chr6	27600000	185	0.931025
chr6	27650000	284	0.74201
chr6	27700000	299	0.885432
chr6	27750000	244	0.984621
chr6	27800000	351	-0.574455
chr6	27850000	368	-0.277489
chr6	27900000	267	-0.292018
chr6	27950000	437	1.10275
chr6	28000000	421	1.53627
chr6	28050000	227	0.773836
chr6	28100000	200	-0.941263
chr6	28150000	149	-1.2384
chr6	28200000	301	-1.25467
chr6	28250000	175	-1.41607
chr6	28300000	207	-1.20115
chr6	28350000	392	-1.34486
chr6	28400000	200	-1.40485
chr6	28450000	71	-1.3244
chr6	28500000	320	-1.39712
chr6	28550000	386	-1.2781
chr6	28600000	213	-1.45919
chr6	28650000	170	-1.31249
chr6	28700000	235	-1.31689
chr6	28750000	60	-0.443675
chr6	28800000	299	-0.895815
chr6	28850000	198	-1.19391
chr6	28900000	254	-1.52692
chr6	28950000	290	-1.46953
chr6	29000000	204	-1.53161
chr6	29050000	138	-1.30582
chr6	29100000	166	-0.927302
chr6	29150000	238	-1.32335
chr6	29200000	248	-0.630479
chr6	29250000	408	-1.31043
chr6	29300000	186	0.0467964
chr6	29350000	247	0.732538
chr6	29400000	318	0.863254
chr6	29450000	226	0.973995
chr6	29500000	417	-0.381529
chr6	29550000	376	1.08133
chr6	29600000	336	-0.283708
chr6	29650000	185	0.485518
chr6	29700000	258	-0.350149
chr6	29750000	89	-1.18548
chr6	29800000	39	-1.34474
chr6	29850000	40	-0.876561
chr6	29900000	14	-1.7059
chr6	29950000	13	-0.858407
chr6	30000000	34	-0.685784
chr6	30050000	84	-1.68289
chr6	30100000	5	-1.50961
chr6	30150000	0	nan
chr6	30200000	0	nan
chr6	30250000	0	nan
chr6	30300000	0	nan
chr6	30350000	28	-1.82721
chr6	30400000	20	-1.81526
chr6	30450000	57	-1.16261
chr6	30500000	0	nan
chr6	30550000	0	nan
chr6	30600000	12	-1.55684
chr6	30650000	68	-1.17898
chr6	30700000	31	-1.43932
chr6	30750000	39	-1.72008
chr6	30800000	126	-1.35163
chr6	30850000	44	-1.25038
chr6	30900000	74	-1.39644
chr6	30950000	85	-1.57824
chr6	31000000	184	-1.22838
chr6	31050000	86	-1.20965
chr6	31100000	34	-1.50917
chr6	31150000	0	nan
chr6	31200000	39	-1.54224
chr6	31250000	9	-1.26119
chr6	31300000	0	nan
chr6	31350000	161	-1.4343
chr6	31400000	161	-1.45386
chr6	31450000	169	0.203603
chr6	31500000	234	0.800037
chr6	31550000	304	0.00152284
chr6	31600000	243	1.32812
chr6	31650000	356	0.515063
chr6	31700000	407	0.0422726
chr6	31750000	346	-0.510465
chr6	31800000	285	-0.134053
chr6	31850000	243	1.4174
chr6	31900000	315	0.602898
chr6	31950000	67	-0.804898
chr6	32000000	248	-0.28715
chr6	32050000	458	0.0303435
chr6	32100000	385	0.0916856
chr6	32150000	179	-1.36663
chr6	32200000	110	-1.26508
chr6	32250000	296	-0.928071
chr6	32300000	292	-1.21326
chr6	32350000	183	0.0936266
chr6	32400000	401	-0.258671
chr6	32450000	326	-0.0517851
chr6	32500000	392	-0.436645
chr6	32550000	386	-0.0148909
chr6	32600000	403	-0.474968
chr6	32650000	236	1.37436
chr6	32700000	263	0.119952
chr6	32750000	362	-0.154031
chr6	32800000	238	0.339097
chr6	32850000	249	-0.394869
chr6	32900000	312	0.031606
chr6	32950000	334	0.342236
chr6	33000000	344	0.188608
chr6	33050000	333	0.300971
chr6	33100000	460	-0.664597
chr6	33150000	311	1.02178
chr6	33200000	367	0.0283401
chr6	33250000	286	0.0898787
chr6	33300000	354	-0.311777
chr6	33350000	393	0.186061
chr6	33400000	390	0.397693
chr6	33450000	364	0.852179
chr6	33500000	399	-0.3902
chr6	33550000	591	1.62261
chr6	33600000	296	1.08898
chr6	33650000	414	2.6084
chr6	33700000	514	1.93909
chr6	33750000	437	2.08578
chr6	33800000	547	0.054721
chr6	33850000	178	0.467511
chr6	33900000	78	-1.05614
chr6	33950000	543	0.232685
chr6	34000000	479	0.638422
chr6	34050000	570	0.462859
chr6	34100000	568	-0.750269
chr6	34150000	62	-1.74118
chr6	34200000	457	-0.16516
chr6	34250000	282	-0.292348
chr6	34300000	397	0.444823
chr6	34350000	581	0.608938
chr6	34400000	312	0.0117849
chr6	34450000	738	-0.104572
chr6	34500000	613	-0.584835
chr6	34550000	296	-0.0143629
chr6	34600000	448	-0.245818
chr6	34650000	349	-0.097616
chr6	34700000	522	0.644147
chr6	34750000	234	-0.141663
chr6	34800000	376	0.0505429
chr6	34850000	111	0.277471
chr6	34900000	123	-0.824323
chr6	34950000	123	-0.116421
chr6	35000000	58	0.667449
chr6	35050000	122	0.243883
chr6	35100000	195	-0.109525
chr6	35150000	435	1.06064
chr6	35200000	573	0.401331
chr6	35250000	470	0.625869
chr6	35300000	570	0.209841
chr6	35350000	645	0.255775
chr6	35400000	420	-0.229611
chr6	35450000	396	0.164918
chr6	35500000	546	-0.806598
chr6	35550000	365	0.509946
chr6	35600000	584	1.05486
chr6	35650000	502	2.05824
chr6	35700000	506	1.48916
chr6	35750000	451	1.66417
chr6	35800000	167	0.845739
chr6	35850000	74	0.423298
chr6	35900000	202	-1.50219
chr6	35950000	115	-1.25271
chr6	36000000	83	-1.114
chr6	36050000	297	-1.22838
chr6	36100000	123	-1.24966
chr6	36150000	200	-1.33795
chr6	36200000	73	-1.19761
chr6	36250000	157	-1.08701
chr6	36300000	226	-1.74896
chr6	36350000	183	-1.3209
chr6	36400000	108	-1.49295
chr6	36450000	49	-1.23437
chr6	36500000	162	-1.30552
chr6	36550000	1	-0.681114
chr6	36600000	199	-1.83142
chr6	36650000	91	-1.51608
chr6	36700000	176	-1.09085
chr6	36750000	141	1.02384
chr6	36800000	325	-1.15426
chr6	36850000	32	0.180102
chr6	36900000	155	-1.21706
chr6	36950000	14	-1.04013
chr6	37000000	252	2.1167
chr6	37050000	129	0.413715
chr6	37100000	157	-1.47769
chr6	37150000	283	1.1496
chr6	37200000	301	1.66624
chr6	37250000	746	0.671486
chr6	37300000	354	1.71023
chr6	37350000	315	1.32975
chr6	37400000	559	0.830234
chr6	37450000	162	-1.40438
chr6	37500000	65	-0.810736
chr6	37550000	39	-1.00028
chr6	37600000	207	-1.69166
chr6	37650000	170	-1.68781
chr6	37700000	271	-1.61678
chr6	37750000	7	-0.799298
chr6	37800000	219	-1.7209
chr6	37850000	158	-1.52989
chr6	37900000	302	-1.53167
chr6	37950000	272	-1.72062
chr6	38000000	306	-1.69461
chr6	38050000	232	-1.67908
chr6	38100000	137	-1.58408
chr6	38150000	311	-1.60343
chr6	38200000	102	-0.992642
chr6	38250000	206	-1.43724
chr6	38300000	199	-0.992604
chr6	38350000	180	-1.81878
chr6	38400000	359	-1.37658
chr6	38450000	433	-1.73333
chr6	38500000	310	-1.43747
chr6	38550000	281	-1.55744
chr6	38600000	299	-1.36233
chr6	38650000	186	-0.717421
chr6	38700000	203	-0.506542
chr6	38750000	403	-0.888016
chr6	38800000	271	-1.16541
chr6	38850000	561	-0.347155
chr6	38900000	600	2.49409
chr6	38950000	502	1.41095
chr6	39000000	547	1.95027
chr6	39050000	511	0.887349
chr6	39100000	577	1.78669
chr6	39150000	587	-0.532443
chr6	39200000	109	-1.14033
chr6	39250000	270	-1.61986
chr6	39300000	368	-1.47771
chr6	39350000	531	-1.58066
chr6	39400000	288	-1.56147
chr6	39450000	438	-1.56212
chr6	39500000	222	-1.48369
chr6	39550000	221	-1.70325
chr6	39600000	390	-1.92224
chr6	39650000	254	-0.825689
chr6	39700000	142	-1.54383
chr6	39750000	243	-1.48972
chr6	39800000	166	-1.50421
chr6	39850000	123	-1.03628
chr6	39900000	154	-1.19714
chr6	39950000	262	-1.47108
chr6	40000000	421	-1.50984
chr6	40050000	80	-1.00253
chr6	40100000	352	-1.43142
chr6	40150000	227	-1.20782
chr6	40200000	336	-1.3426
chr6	40250000	185	-1.44261
chr6	40300000	155	-1.22676
chr6	40350000	164	-1.51259
chr6	40400000	210	-1.5194
chr6	40450000	209	-1.69371
chr6	40500000	155	-1.65693
chr6	40550000	657	-1.72083
chr6	40600000	240	-1.64523
chr6	40650000	237	-1.72953
chr6	40700000	333	-1.48911
chr6	40750000	199	-1.56649
chr6	40800000	402	-1.54146
chr6	40850000	73	-1.43567
chr6	40900000	214	-1.79152
chr6	40950000	136	-1.33462
chr6	41000000	265	-1.66878
chr6	41050000	414	-1.52772
chr6	41100000	382	-1.53078
chr6	41150000	123	-1.16323
chr6	41200000	150	-1.38935
chr6	41250000	183	-1.45389
chr6	41300000	107	-1.48691
chr6	41350000	139	-1.29416
chr6	41400000	245	-1.56616
chr6	41450000	135	-1.37993
chr6	41500000	30	-1.52864
chr6	41550000	187	-1.15162
chr6	41600000	172	-0.709411
chr6	41650000	301	-1.39378
chr6	41700000	211	-1.11375
chr6	41750000	172	-1.48203
chr6	41800000	327	-1.52417
chr6	41850000	310	-1.58878
chr6	41900000	261	-1.43052
chr6	41950000	155	-1.61571
chr6	42000000	127	-1.30343
chr6	42050000	460	-1.25019
chr6	42100000	168	-1.53096
chr6	42150000	250	-1.50881
chr6	42200000	251	-1.69219
chr6	42250000	305	-1.72353
chr6	42300000	89	-1.61898
chr6	42350000	251	-1.34402
chr6	42400000	374	-1.61641
chr6	42450000	424	-1.53599
chr6	42500000	370	-1.38849
chr6	42550000	478	-1.42909
chr6	42600000	329	-1.47355
chr6	42650000	303	-1.35803
chr6	42700000	343	-1.5205
chr6	42750000	206	-0.949027
chr6	42800000	305	-1.43409
chr6	42850000	189	-1.29468
chr6	42900000	327	-1.44072
chr6	42950000	177	-1.21759
chr6	43000000	248	-1.40229
chr6	43050000	322	-0.641795
chr6	43100000	372	-0.601377
chr6	43150000	464	-1.18285
chr6	43200000	237	-1.65657
chr6	43250000	187	-1.44849
chr6	43300000	357	-1.68031
chr6	43350000	241	-1.67211
chr6	43400000	372	-1.5752
chr6	43450000	502	-1.7174
chr6	43500000	222	-1.43174
chr6	43550000	289	-1.76403
chr6	43600000	178	-1.66856
chr6	43650000	115	-1.01019
chr6	43700000	220	-1.60978
chr6	43750000	429	-1.68552
chr6	43800000	135	-1.63063
chr6	43850000	96	-1.44609
chr6	43900000	214	-1.41122
chr6	43950000	342	-1.56153
